dataset,query,duplicates
gossipcop,11563750876755616802,15022206554749221522 11563750876755616802 16438978707942553629 12682594201940277938 12785433708593025520 11368008663152923933 11563759771633927778 4693237241324079648 1177047271351282418 2636186751600340298 128441652553246805 15003799941153308263 14562949927459493075 16835132897459267013 6757589543310578965 18224556445113427293 1151531113476512861 3916207133738669774 14811787118594594066 1471135804570178455 5089278289951400077 5053757459626317304 11680629656770528919 17846232068235088772 6740355281718164303 7571644465214112899 3620527411622082099 8755218522259411658 15074549193927720288 15868129082538919513
gossipcop,2322599633095503111,2322599633095503111 16825458760271544958 17349993691925784221 15112497776153398229 10755708372038916761 3283180651294464041 9932848580321021995 11932220276422412724 15799860155363567966 11419973133383715472 15990872390753537946 11354050648331452521 10212653544942077431 16825458760271544958 16825458760271544958 4918074534739088795 11033951551140862373 10611569810481559560 16825458760271544958 16803578651176338749 4180791266386126120 13035622300878574218 2411406425184421126 13085800034407733396 7357430300292915065 17450345371528406317 331990419182611781 4191445700011111634 2921187013046012006
gossipcop,882743506327025553,4582940708912675421 882743506327025553 7282978523638327258 13268164472737953309 6898354095833033713 14546723398947238826 2147190773220490740 6102056085237090265 5256511831196638580 5400339825046225605 15801614397166689285 9364435563494546357 1244300016787525584 805443835446257480 16825458760271544958 5632438841873930328 13207152205733435462 16825458760271544958 6616050137459972538 16375541939815743963 16825458760271544958 5305930480887840144 16825458760271544958 14108761255436634907 6616050137459972538 7760899552681704939 4645385605781245820 15285598132080986496 5306357091330276817
gossipcop,9455160648268229359,9455160648268229359 16825458760271544958 3053970909630814458 5566642412261666263 14970098713484058708 1324142163507931452 15394103016084643908 17720806777739111540 144977755520505829 5036207740349855412 231533949214756916 14963294374034275156 14608504472108081989 7422111863272308698 14887116542020503333 16182145840632838990 7131393661698338831 2673619147808531220 14614615967879836516 7923205004836835363 12707759877705196374 5077024947138239268 4432508507032846371 6999609181357555914 3912519133644800183 15970764984834822206
gossipcop,13005139608898547636,13005139608898547636 4934553948683390716 18300810299298883480 7364405594210361156 2917586610555597500 8097338578854344015 10540977038025838494 10200370313704534598 2480424499344951210 16825458760271544958 7475451206298818875 14380856207088774694 2333048244231852411 467435969516286317 14725552750442088039 11492636043165305554 1321820458138996717 16155820361613678493 12728633669282730600 77509265662304368 7177135871607350556 15913587477283348506 8682090384624370790 12378014491172444717 5354654553579296804 11980770659040993404 11284323016600752538 16454248969951446140
gossipcop,14636187845308480574,14636187845308480574 18124170457674465042 12182286503261026839 1227266785461088796 14127675828742422 8195296136016619388 3118861836253655384 3022563385949762514 3099307590503780183 16825458760271544958 5141402837991998589 15766200735694840348 888128355643627200 2735885518718214497 8527887366953465108 4086352969339804052 16825458760271544958 16825458760271544958 2959945873969402654 15919153724915883554 3880905568807043596 11809310094724110314 16825458760271544958 16825458760271544958 7309218453866486476 6335825217646549792 8153662154818934133
gossipcop,6599536793484434044,6599536793484434044 12824081319395058506 16825458760271544958 12934912938727627310 15560668950975364324 15560668950975364324 14269730654269956171 16825458760271544958 16825458760271544958 12715893154790389673 9776249118132455496 1646071922810166354 16825458760271544958 16825458760271544958 16825458760271544958 12715893154790389673 380701838285301301 16825458760271544958 1308072137067407882 12974289683063775128 864723138726092573 7357430300292915065 11422766245167625241 16505195688058167510 14348481815904150178 1173026839969804702 5203909714266103849 16825458760271544958 16825458760271544958
gossipcop,16681513522543650937,16681513522543650937 4945719479994263728 3205752701440777900 1327689100828561560 12775164755443295061 17679256940266933760 8794097831563395859 9793139601845611544 3416952523098107258 16825458760271544958 7245528752197510661 16825458760271544958 2928004439182754980 7263137955118430216 9463468871420818758 15868143886808115387 10706911827958931589 13537654027285235153 16899676617883087394 8920544833754561963 16540361896763304635 1946620534733848370 3875059192689452809 14928873876182940368 16825458760271544958 5094189290458553547 16825458760271544958
gossipcop,7574443520128891752,7574443520128891752 2636186751600340298 5896019548179133752 11277055816891587573 16339204382090758992 3717244729358645954 5331069043263973050 4634703943685063005 4923371950684009264 5293504446456668623 4693237241324079648
gossipcop,15065375190671166059,16825458760271544958 16825458760271544958 16825458760271544958 16825458760271544958 16825458760271544958 15065375190671166059 16825458760271544958 16825458760271544958 2667564590070012090 15117476282061525171 16825458760271544958 16825458760271544958 16825458760271544958 16825458760271544958 3848164456195694648 1435190625451307955 10135494184759084032 16825458760271544958 16825458760271544958 1692603616136493587 6335066636923820820 9612896781771581349 16825458760271544958 817578696780351231 9359027263895132682 1793824016158999051 5948062678974361909 747508923089875748 16825458760271544958
gossipcop,17669933893784572791,1160910187239371223 15396735540696509766 2839723468011032163 13531390628357912838 26740407174841685 8109996034573603193 9839326174010229333 15396712755018692983 5130141521578646858 199452959167591157 12770441454279066751 16825458760271544958 16825458760271544958 10526376060495892422 2685672096658534629 16285164092905513047 15180396598837958864 4794922157951782967 11494860066266598089 2159366459534826048 2685672096658534629 3306843802295996148 17270839089974443008 8247424181948002732 12920986667277718445 7480923046400369486 5909329704460431548
gossipcop,1365229276797891168,4777696718547498043 1365229276797891168 16568666323478791491 8046605145551525042 2094310201934916165 5581928818753386154 8089148849824770259 13493009246418847468 2316538304048650326 9245153055624086963 603730731177447909 10724022688585736796 3775713799682284551 585623152107744521 3536777652502227488 10099118775479634745 16825458760271544958 7381375944432309753 2417619487974286628 230799331082462739 16825458760271544958 14372347660151033801 3775712701246569477 17410231457879744034 16825458760271544958 16825458760271544958 2850993865996558595 18405251338931406086 6273769223839358630
gossipcop,1880776752821693869,5686130316650355747 9333807146774652801 909704517776596691 14516179561356576462 2704314169007804632 3858967580793536813 13150527491712274406 366009430535293568 802639128943101289 7506871087263000037 1853118328814650225 16825458760271544958 7436950944211010888 5776784378589251527 4212343903638014220 309279963478712889 2998574265906112229 8573918204702820774 3399879746644897578 14588222221347450949 1240127256485855517 9537070413263274461 14021181736594403349 12868763732971395773 10160376612243191149 13415645149382218737 2899184782002130105 10330099176028129119 2789902561102813158
gossipcop,4896838154335939451,4896838154335939451 8211487480080362442 17869229540701202132 11372661282618132857 2546014106436630826 18104414359080309515 335503824649506027 1427441717474568282 17664580166350157742 9922972975193457874 1119838686823885510 8230910576782322512 258029609711330000 258029609711330000 258029609711330000 17139164891276399839 16825458760271544958 16825458760271544958 10108426164068019819 2559461126751029189 9994333973347830506 16825458760271544958 16825458760271544958 258029609711330000 16825458760271544958 258029609711330000 13247909784945949800 16825458760271544958 11613597276019702874
gossipcop,4110211541990120753,4110211541990120753 5516471758215930287 17884767479894575449 8746423756712953548 7110516845800409555 15693356728989876929 5759411413108048794 2891701164880136972 16135365444337273798 6708595940698447957 17145602659236810325 8623372582104664734 16389948959391769216 12279539474611646629 3643698692257785819 5215650139759471130 12334272468146808510 4918074534739088795 4070454475058691467 8659326884328409940 8463216523742787416 10640914391018002661 10715496092907138569 18368871741678744802 4545449753051548887 14546671102984700517 3268482747121006457
gossipcop,3069808153377430090,3069808153377430090 8264114837139935242 11449965632552725392 4449652489703026719 1940039130660916202 9557257868648686931 13274549839555543022 10994103747101620100 6414850670925199636 16892565195858497863 4693237241324079648 14965150787669301508 3868594586502832728 7823861717119053778 7674152043187150237 16241693573641448661 154516689099444092 6078896525547481779 11637694175532315468 13653250536808774929 16825458760271544958 6078896525547481779 1179071764567454822 429186369957482091 11733640542327162142 1691964540484690434
gossipcop,13006630937016718638,16825458760271544958 13006630937016718638 9022948942055504519 368340339774387248 16825458760271544958 13634132124798225055 16825458760271544958 15300314625159654141 16380892263987630182 16295016408730894506 16825458760271544958 7119529145239149432 2517694717774265397 3966827611394796388 16825458760271544958 4054595995823854877 17262768740900677275 16825458760271544958 9770334366432468043 16825458760271544958 6014513062818265813 7916295119484677313 16825458760271544958 3012039350521626134 7871382625620371688 16825458760271544958
gossipcop,18135840804307851368,3716613006950739137 4239212341728671993 8494738993704082581 15315659099963992684 14087580831858385298 14087580831858385298 2365391135922446005 12217607239565689218 13083422508622159617 10918495418547228039 18389991610304703504 16825458760271544958 15560668950975364324 8737323557984181155 16825458760271544958 436495046361078977 16825458760271544958 9234790828581400504 12855331272811337534 10221208533029452953 13007010951546695500 5937047965286824713 14963494284945085963 7755366586610067977 4978053534726832377 12922682187940654682 4819636027159875282 10129042936663490101
gossipcop,2227660250171842904,1458826606652072307 2569491419237466257 628442159533014870 1814339667519877439 18054649596592680024 16945359434981903105 3775713799682284551 9224939815219393033 11856243272726246101 16290687496158051471 4963782715129938680 17555517826858356116 3480227579423239703 12093342344916505404 7379387817529041416 5419750652048090724 16825458760271544958 16825458760271544958 13703219982805749112 13332171875467952780 1842870461668209445 5001834334825955300 17371779715134135009 16825458760271544958 16825458760271544958 9824887450353632314 16825458760271544958
gossipcop,3432683445413927346,5554120843969814447 16825458760271544958 16825458760271544958 14660182090236466680 10918495418547228039 15560668950975364324 11127833731071236850 6022069587182280978 18246590606387096131 5804137258390086812 16243248816470768754 8044617244325885959 2636186751600340298 12588582655670867910 17739570162934968450 7109033904864688012 3181905901446019331 26740407174841685 168838699433772392 7105733128097799883 16259766145889493377 16418736865112470713 5010258435412388049 13615127652109160763 8655420132115789635 2283671835530221866
gossipcop,2926827498723370818,2926827498723370818 5085758057597213164 5821938880342551216 14513167114057412552 17267553156786399716 18412821991710992880 16825458760271544958 5222805827599343093 13511718106644644546 16825458760271544958 16825458760271544958 16825458760271544958 1748690666251920519 14235888968693733261 1605909295947137652 5680802531819545432 16825458760271544958 13682431144914593057 9687503809093082228 16825458760271544958 1694125555201695162 3069895100401319827 3284677284531767245 16825458760271544958 12984707689471169931 16825458760271544958 16825458760271544958
gossipcop,16934738728574831001,1646484314937101409 16934738728574831001 16783029707788157882 1267070870246749093 12463111338923496028 16769784342958095280 10478536043665104950 4932740277298308410 16825458760271544958 2303386941720129199 8668284000536416724 12295479189714354336 14952272298607849622 2684250943377246468 7851335113031414780 16825458760271544958 14361417266305382065 3434282326567188927 16825458760271544958 16825458760271544958 6446362885058200808 14614615967879836516 16825458760271544958 16825458760271544958 16825458760271544958
gossipcop,3887070392598993750,16825458760271544958 12854721187504303520 10918495418547228039 7313739174825006705 178548785381791001 3005719336766032338 10211417527354587753 26740407174841685 10599475716621829948 17515141759886118940 504280700171101965 1155994940316113306 16825458760271544958 12001157256387332839 17317505161657422207 10267141750451579593 13962859785055883195 15917092200569908787 8036004791869543146 12149862674309617342 1632845071043271787 17236270424396718792 1168798391413355822 323210381973684700 5250088453748371610 16200515447115144767 13058342118308030836
gossipcop,2827307889736947471,3187489531965079989 2827307889736947471 481539549066851358 2561552587100752909 2526855914990226432 4732598953050741076 16825458760271544958 8307226794168682155 8430920723457510812 925157715758958172 17663585924348136141 1949182699916677244 14379592569469037156 16825458760271544958 11233109961178262945 4673578885916267425 9619711327174658220 16030446306083705245 3262966447599074757 37357532247391860 15901515460586852383 6033821133286499994 9188090874534953802 9862474425654412616 16825458760271544958
gossipcop,8623372582104664734,8623372582104664734 8623372582104664734 1127746435747619772 1749537583904136255 17184188151676872018 8361219769407847255 16825458760271544958 16825458760271544958 8490313456671221805 1559619580166430251 16255835629440476289 13123162980223681638 4860116033170824279 16825458760271544958 6920663314424493055 16825458760271544958 17966987554594528413 9997501526733012880 16825458760271544958 10640100542255841898 14592341482390875425 16825458760271544958 1473502905971973620 15984482119989480161 16825458760271544958 16825458760271544958 16825458760271544958 3629839824509468929 17861845189063105895
gossipcop,17992961971699704689,17992961971699704689 6817430036025579507 16825458760271544958
gossipcop,2344030096137978274,2344030096137978274 7775791545226285346 7654601825138653438 15092556129076030346 199937730876810618 13955734302600409058 319074546079420838 14110852414619273702 4678983096772633478 16825458760271544958 9235996843326067714 5053755983699148587 10824985429252058438 15592457265748174465 15586836614028060552 7732106094851101409 15152002653963117889 16423362723254934471 616246575755390801 17897760933938146063 666332893061179794 16825458760271544958 15300884347364403377 18441863556388198775 9288766547333647856 14441101504820963974
gossipcop,12934912938727627310,12934912938727627310 17653183082741311404 3775712701246569477 9982038730745293565 16825458760271544958 16825458760271544958 16825458760271544958 159082827869683453 14824890595569346708 16825458760271544958 8202602755853281076 16825458760271544958 7577745444410361966 5576786163877373897 10780041062322728457 1876310562498013 1563015689245039277 12739656366583650231 6654515563794976950 11241699053695477421 8541999309258385224 7251704341861639204 17744683550247048174 53003216726285149 3554756826770735107 16825458760271544958 9301135117001000960 9333413255397667351
gossipcop,13394849735853557820,13394849735853557820 8670769004944237640 3684103226523331188 10968881133669242715 9495561182444542062 4918074534739088795 12738080782883193453 14575517503385684094 14541090674176738094 14811986192722100313 7529608939069861919 5595634798361156322 14118528091229440617 4471111080686065758 15325891542939479435 1880265805620524482 11454264196049328490 16825458760271544958 4636461047384593079 1131290224235250192 26740407174841685 17364403714473778694 16087501941005716274 175128059524302013 366009430535293568 15553703026278754516 18382780096715329321 8103325384476515176
